PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-01-28,12:04:04.32,1,1,"Tomlinson, Evan",1000093903,Right,CAL_MUS,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Top,0,0,0,TwoSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,88.87612,-0.430112,-2.222983,1847.644819,267.871512,3:00,5.6028,1.66271,5.49658,-34.1597,1.70969,15.96269,2.35352,0.91249,81.5024,-6.683599,0.622708,0.431056,,,,,,,,,,,,-8.65386,1.32925,-1.47919,50,5.54207,4.3012,-129.02234,-2.25751,-14.59985,26.63044,-29.93149,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240128-BaggettStadium-Private-1,631e0b70-be18-11ee-8441-fd3465a7f038,87.44217,,,7.37371,,,,,,,9131dd53-c78a-4774-b010-bf1e935cc06f,2024-01-28,20:04:04.32,2024-01-28T12:04:04.3272386-08:00,2024-01-28T20:04:04.3272386Z,,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,49a1d049-c6b9-44a8-a529-91a1cd5e8482,55.00503,-130.05129,13.31522,5.60695,-1.10102,-14.96575,-1.65628,4.86531,-7.29992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-01-28,12:04:21.64,1,2,"Tomlinson, Evan",1000093903,Right,CAL_MUS,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Top,0,1,0,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,78.63444,-0.094235,-1.346822,1866.003131,107.841039,9:30,5.56661,1.72936,5.04801,-44.12731,2.68512,-3.61748,1.80043,0.15729,72.03651,-8.101628,-1.986607,0.492438,94.76511,-10.956284,-18.881853,,,,,11.441,10.98255,-16.726655,0.070529,1.41567,1.77043,-1.59791,50,5.52236,2.82816,-114.05372,-1.73887,1.85649,21.84293,-29.85231,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240128-BaggettStadium-Private-1,6d7ec0a0-be18-11ee-8441-fd3465a7f038,76.54244,1.86552,,6.59792,,,,1.83896,1.86552,-0.17424,9131dd53-c78a-4774-b010-bf1e935cc06f,2024-01-28,20:04:21.64,2024-01-28T12:04:21.6493762-08:00,2024-01-28T20:04:21.6493762Z,GroundBall,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,e7a3d2f1-86a5-4ec9-9fe8-2fc5ac340c9c,55.45286,-115.09328,10.92146,5.57131,-0.31812,-14.92616,-1.73041,2.7398,0.92824,180,1.83706,129.27974,,,,,,,,1.86591,-26.45044,,,,,,,,-0.17359,-44.21661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2024-01-28,12:04:54.13,2,1,"Tomlinson, Evan",1000093903,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,1,0,0,TwoSeamFastBall,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,89.142,-0.50532,-2.307609,1862.30762,253.723327,2:30,5.67227,1.67041,5.45161,-30.17317,5.27996,14.57414,2.68436,0.72338,82.26226,-6.032139,0.28697,0.428547,67.78262,60.163058,121.425758,5374.438019,,,,,22.34099,,,-7.98867,3.07906,-1.47722,50,5.60668,4.58709,-129.50003,-2.26425,-13.68346,24.85109,-26.90003,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240128-BaggettStadium-Private-1,80d1a6e0-be18-11ee-8441-fd3465a7f038,87.95397,39.59393,,6.87974,,,,2.68966,2.84111,-0.64599,9131dd53-c78a-4774-b010-bf1e935cc06f,2024-01-28,20:04:54.13,2024-01-28T12:04:54.1387970-08:00,2024-01-28T20:04:54.1387970Z,,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,09b48586-d548-43a2-a6c5-de8b9fe56f29,55.05149,-130.46581,12.42555,5.67436,-1.21885,-13.45001,-1.66582,5.11886,-6.84173,332.993789,2.70422,-26.18405,-5.07171,,,,,,,2.85484,85.86875,-24.44044,,,,,,,-0.64028,42.05418,-4.93914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2024-01-28,12:05:11.46,2,2,"Tomlinson, Evan",1000093903,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,1,0,1,TwoSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,89.5131,-0.87494,-0.834897,1765.145342,249.057104,2:15,5.70039,1.52177,5.2811,-29.7608,6.13323,12.88575,2.39845,1.81142,81.47652,-6.339764,1.453907,0.431204,,,,,,,,,,,,-6.67461,3.69567,-1.45533,50,5.59898,1.29682,-129.83144,-3.11702,-11.31651,28.87879,-25.90821,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240128-BaggettStadium-Private-1,8b2a1eb0-be18-11ee-8441-fd3465a7f038,87.41209,,,8.03658,,,,,,,9131dd53-c78a-4774-b010-bf1e935cc06f,2024-01-28,20:05:11.46,2024-01-28T12:05:11.4617026-08:00,2024-01-28T20:05:11.4617026Z,,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,5002e739-6e36-4e8b-91f8-f331bf3db4ad,55.21811,-130.98698,14.43939,5.70296,-2.08035,-12.9541,-1.51628,1.74963,-5.65825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-01-28,12:05:27.81,2,3,"Tomlinson, Evan",1000093903,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,1,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.18402,0.873483,0.636926,1930.219748,84.263052,8:45,5.61773,1.72236,4.89473,-46.43503,0.36803,-8.97934,2.5745,1.57658,72.69687,-7.488766,-0.946957,0.492389,,,,,,,,,,,,4.59977,0.35122,-1.77679,50,5.66387,-0.89575,-113.62097,0.05025,6.09653,18.10928,-31.70852,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240128-BaggettStadium-Private-1,94e80430-be18-11ee-8441-fd3465a7f038,76.55011,,,5.48714,,,,,,,9131dd53-c78a-4774-b010-bf1e935cc06f,2024-01-28,20:05:27.81,2024-01-28T12:05:27.8147266-08:00,2024-01-28T20:05:27.8147266Z,,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,ee60c856-c336-4d25-bb13-e332a5fae6a5,55.60832,-114.51136,9.05464,5.62308,1.60927,-15.85426,-1.72538,-1.19551,3.04826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-01-28,12:05:45.03,2,4,"Tomlinson, Evan",1000093903,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,1,2,1,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,77.41286,0.509026,-0.387062,1968.960086,109.595943,9:45,5.55182,1.56366,4.95081,-43.33715,4.94701,-9.63941,2.42142,0.39462,71.06228,-7.356066,-2.08845,0.500119,65.61672,53.054698,101.909312,4806.883636,,,,,66.36859,,,4.70339,2.705,-1.5176,50,5.56538,1.14504,-112.33871,-0.50858,6.00628,20.48299,-28.71973,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240128-BaggettStadium-Private-1,9f3112b0-be18-11ee-8441-fd3465a7f038,75.36689,83.04737,,6.35058,,,,3.00696,2.44915,-0.51458,9131dd53-c78a-4774-b010-bf1e935cc06f,2024-01-28,20:05:45.03,2024-01-28T12:05:45.0333378-08:00,2024-01-28T20:05:45.0333378Z,,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,89ca9b98-dda1-4377-b45c-1f6dd3760cad,55.55078,-113.34628,10.24149,5.55565,0.90416,-14.35987,-1.56665,0.84959,3.00314,315.631608,3.00695,-11.93666,-5.45848,0.15584,0.5035,-0.56721,0.39549,-0.15184,0.0243,2.44915,76.91429,-17.22581,2.24972,-0.1978,-0.10659,0.0704,-0.02413,0.00363,-0.51459,56.5991,-9.62929,-0.24925,0.96691,-0.99446,0.69283,-0.26672,0.04275,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2024-01-28,12:06:04.61,2,5,"Tomlinson, Evan",1000093903,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,1,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.10199,-0.447776,-0.738588,1504.921638,277.876978,3:15,5.45198,1.63919,5.65864,-45.82251,-0.43244,14.18123,1.21581,2.13213,72.27821,-8.842905,1.801812,0.4849,,,,,,,,,,,,-7.41134,0.39201,-1.58573,50,5.38524,0.92874,-114.82324,-2.41178,-9.7971,23.21619,-31.65587,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240128-BaggettStadium-Private-1,aad9ff50-be18-11ee-8441-fd3465a7f038,77.73245,,,6.82378,,,,,,,9131dd53-c78a-4774-b010-bf1e935cc06f,2024-01-28,20:06:04.61,2024-01-28T12:06:04.6123714-08:00,2024-01-28T20:06:04.6123714Z,,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,4bae420e-5c3a-45ca-a9d9-3f0dd740b98f,54.84199,-115.79811,11.6081,5.45861,-1.08252,-15.82793,-1.63337,1.34013,-4.89855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-01-28,12:06:23.55,2,6,"Tomlinson, Evan",1000093903,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,1,3,2,TwoSeamFastBall,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.7134,-1.836539,-4.283769,1940.524078,255.507828,2:30,5.62756,1.56346,5.53498,-29.35828,6.36512,19.71292,1.45896,-0.80549,81.27733,-7.254027,-0.776451,0.430178,,,,,,,,,,,,-11.28902,4.15044,-1.2045,50,5.44826,8.84029,-129.76305,-5.24452,-19.03737,29.93612,-25.17488,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240128-BaggettStadium-Private-1,b6211ce0-be18-11ee-8441-fd3465a7f038,87.62066,,,8.43607,,,,,,,9131dd53-c78a-4774-b010-bf1e935cc06f,2024-01-28,20:06:23.55,2024-01-28T12:06:23.5530000-08:00,2024-01-28T20:06:23.5530000Z,,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,972b9e36-adc9-4445-91c5-3b451b66b3d9,54.96551,-130.90357,14.96806,5.6298,-4.28539,-12.58744,-1.55512,9.56559,-9.51868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.75362,2.831459,1.791078,1.040381,2.17354,1.55472,0.7949,-0.79141,5.59457,-2.60908,67.39304,4.22453,-57.39762,-0.65433,73.28621,-7.52576,5.63135,11.4489,-12.2885,-2.67046,-56.69733,3.91346,High,High,High,,,High,High,High
9,2024-01-28,12:06:53.65,3,1,"Tomlinson, Evan",1000093903,Right,CAL_MUS,"Stafford, Ryan",701696,Right,CAL_MUS,Undefined,1,Top,2,0,0,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.74296,-1.444724,-4.309181,1935.116377,244.258556,2:15,5.60781,1.64878,5.35351,-26.7071,9.2139,16.47072,2.02308,-1.02791,81.23314,-6.38193,-1.391111,0.431366,,,,,,,,,,,,-9.54402,5.43862,-1.27245,50,5.4587,9.01736,-129.76061,-4.26358,-16.11506,29.60661,-22.99095,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240128-BaggettStadium-Private-1,c808da60-be18-11ee-8441-fd3465a7f038,87.37933,,,8.50983,,,,,,,9131dd53-c78a-4774-b010-bf1e935cc06f,2024-01-28,20:06:53.65,2024-01-28T12:06:53.6509634-08:00,2024-01-28T20:06:53.6509634Z,,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,7cca859d-9e48-4352-a1c1-620f31bcf078,55.14541,-130.92934,14.80331,5.60909,-3.35601,-11.49547,-1.64097,9.65351,-8.05753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-01-28,12:07:10.40,3,2,"Tomlinson, Evan",1000093903,Right,CAL_MUS,"Stafford, Ryan",701696,Right,CAL_MUS,Undefined,1,Top,2,0,1,TwoSeamFastBall,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,89.86849,-2.394365,-3.827586,1941.823004,260.893988,2:45,5.68298,1.6014,5.78272,-31.13876,4.27185,18.56158,0.85405,-0.41836,81.24951,-8.148947,-0.505117,0.42829,103.04525,0.321365,23.703366,3275.540178,,,,46.85769,41.5434,26.177294,0.318539,-10.71449,3.32799,-1.29661,50,5.46634,7.8923,-130.01016,-6.55872,-18.04439,31.33624,-26.56933,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240128-BaggettStadium-Private-1,d20af4d0-be18-11ee-8441-fd3465a7f038,88.00679,1.04495,,8.61898,,,,1.2116,1.03118,0.46578,9131dd53-c78a-4774-b010-bf1e935cc06f,2024-01-28,20:07:10.40,2024-01-28T12:07:10.4046274-08:00,2024-01-28T20:07:10.4046274Z,GroundBall,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,311fe2c1-a603-4f3c-bcfd-e416e779c150,54.7174,-131.14226,15.66812,5.68595,-5.59884,-13.28467,-1.59351,8.5442,-9.0222,,1.22104,137.98628,-30.87179,,,,,,,1.03225,0.80327,-12.70517,,,,,,,0.45888,61.04573,7.62287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
